X,Y,Plot,Tall1_sp,Tall1_ht,Tall2_sp,Tall2_ht,Tall3_sp,Tall3_ht,Tall4_sp,Tall4_ht,Tall5_sp,Tall5_ht
800,143,LGMA_Ex,AGE,102,AGE,97,DES,95,AGE,94,AGE,86
800,143,LGMA_OP,AGE,120,AGE,105,AGE,94,AGE,77,AGE,68
802,144,LGMB_Ex,ASPEN,189,UNK,105,DES,61,DES,46,DES,38
802,144,LGMB_OP,RUB,105,GRASS,81,GRASS,68,DES,59,DES,45
804,145,LGMC_Ex,RUB,155,RUB,128,AGE,88,AGE,83,AGE,72
804,145,LGMC_OP,RUB,108,DES,58,DES,54,ASPEN,42,DES,38
816,152,LGMD_Ex,RUB,200,CIR,97,CIR,74,CIR,71,DES,46
816,152,LGMD_OP,FERN,67,FERN,54,DES,53,AMP,0,AMP,0
816,154,LGME_Ex,CIR,70,DES,68,CIR,61,ASPEN,57,CIR,49
816,154,LGME_OP,RUB,75,DES,69,RUB,48,ASPEN,36,DES,25
814,152,LGMF_Ex,GOLD,75,GOLD,65,GER,52,GOLD,47,GOLD,44
814,152,LGMF_OP,DES,51,DES,38,ASH,32,GOLD,32,CLEAR,29
818,152,HGMC_Ex,DES,123,WOOD,114,WOOD,102,WOOD,89,DES,56
818,152,HGMC_OP,ALL,103,ALL,77,CRY,48,CRY,45,CRY,42
816,180,HGMB_Ex,DES,88,CIR,73,CIR,64,GER,55,DES,50
816,180,HGMB_OP,ALL,107,ALL,95,ALL,78,ALL,71,ALL,55
814,178,HGMA_Ex,RUB,200,RUB,200,RUB,200,GRASS,94,CIR,80
814,178,HGMA_OP,RUB,115,CRY,74,DES,66,CRY,65,CRY,57
820,178,HGMD_Ex,PHR,77,ASH,73,ASH,72,PHR,71,DES,65
820,178,HGMD_OP,ALL,145,ALL,133,ALL,105,ALL,100,DES,46
818,174,HGMF_Ex,GOLD,96,CRY,86,ALL,82,ALL,69,ALL,69
818,174,HGMF_OP,ALL,99,CRY,57,CRY,48,ASH,47,WOOD,46